date,day_of_week,weather,water_temp_raw,water_temp_avg,wave_height_raw,wave_height_m,next_day_status,spot,angler,species_raw,species,count,size_min_cm,size_max_cm,tackle,bait,detail_url
2025-03-13,日,,16.8度,,1.5m,1.5,明日は悪天候の為休船します。,双子の親,b4745e39,グレ14匹35cm〜40cm,グレ,14.0,35.0,40.0,フカセ,オキアミ,https://www.taniguchitosen.com/archives/ub1ruabwlwjavtrmzdbu/3%e6%9c%8813%e6%97%a5%e6%97%a5%e7%a3%af%e9%87%a3%e3%82%8a%e5%87%ba%e8%88%b9%e3%81%97%e3%81%be%e3%81%97%e3%81%9f%e2%98%86?easys_page_id=9&easys_block_id=nsazd3axzm5hro8srr8n
2025-03-13,日,,16.8度,,1.5m,1.5,明日は悪天候の為休船します。,赤島の三角,097b9110,グレ2匹33cm〜40cm,グレ,2.0,33.0,40.0,フカセ,オキアミ,https://www.taniguchitosen.com/archives/ub1ruabwlwjavtrmzdbu/3%e6%9c%8813%e6%97%a5%e6%97%a5%e7%a3%af%e9%87%a3%e3%82%8a%e5%87%ba%e8%88%b9%e3%81%97%e3%81%be%e3%81%97%e3%81%9f%e2%98%86?easys_page_id=9&easys_block_id=nsazd3axzm5hro8srr8n
2025-03-13,日,,16.8度,,1.5m,1.5,明日は悪天候の為休船します。,赤島の壁,2c0d7e99,グレ2匹30cm〜38cm,グレ,2.0,30.0,38.0,フカセ,オキアミ,https://www.taniguchitosen.com/archives/ub1ruabwlwjavtrmzdbu/3%e6%9c%8813%e6%97%a5%e6%97%a5%e7%a3%af%e9%87%a3%e3%82%8a%e5%87%ba%e8%88%b9%e3%81%97%e3%81%be%e3%81%97%e3%81%9f%e2%98%86?easys_page_id=9&easys_block_id=nsazd3axzm5hro8srr8n
2025-03-13,日,,16.8度,,1.5m,1.5,明日は悪天候の為休船します。,五平島,64aac6af,グレ2匹33cm〜35cm,グレ,2.0,33.0,35.0,フカセ,オキアミ,https://www.taniguchitosen.com/archives/ub1ruabwlwjavtrmzdbu/3%e6%9c%8813%e6%97%a5%e6%97%a5%e7%a3%af%e9%87%a3%e3%82%8a%e5%87%ba%e8%88%b9%e3%81%97%e3%81%be%e3%81%97%e3%81%9f%e2%98%86?easys_page_id=9&easys_block_id=nsazd3axzm5hro8srr8n
2025-03-13,日,,16.8度,,1.5m,1.5,明日は悪天候の為休船します。,八丈,d6b4488f,グレ3匹30cm〜32cm,グレ,3.0,30.0,32.0,フカセ,オキアミ,https://www.taniguchitosen.com/archives/ub1ruabwlwjavtrmzdbu/3%e6%9c%8813%e6%97%a5%e6%97%a5%e7%a3%af%e9%87%a3%e3%82%8a%e5%87%ba%e8%88%b9%e3%81%97%e3%81%be%e3%81%97%e3%81%9f%e2%98%86?easys_page_id=9&easys_block_id=nsazd3axzm5hro8srr8n
2025-03-13,日,,16.8度,,1.5m,1.5,明日は悪天候の為休船します。,カナトコ,c36ec319,グレ10匹30cm〜41cm,グレ,10.0,30.0,41.0,フカセ,オキアミ,https://www.taniguchitosen.com/archives/ub1ruabwlwjavtrmzdbu/3%e6%9c%8813%e6%97%a5%e6%97%a5%e7%a3%af%e9%87%a3%e3%82%8a%e5%87%ba%e8%88%b9%e3%81%97%e3%81%be%e3%81%97%e3%81%9f%e2%98%86?easys_page_id=9&easys_block_id=nsazd3axzm5hro8srr8n
2026-02-22,日,,,,,,明日は悪天候の為休船します。,,,,,,,,,,https://www.taniguchitosen.com/archives/ub1ruabwlwjavtrmzdbu/2%e6%9c%8822%e6%97%a5%e6%97%a5%e7%a3%af%e9%87%a3%e3%82%8a%e4%be%bf%e2%98%86?easys_page_id=9&easys_block_id=nsazd3axzm5hro8srr8n
2026-01-08,木,晴れ,双子周辺18.4℃ アシカ周辺19.5℃,18.95,1.5m,1.5,明日も出船します。,白崎,fa0512ab,30cm〜38cm,,,30.0,38.0,フカセ,オキアミ,https://www.taniguchitosen.com/archives/ub1ruabwlwjavtrmzdbu/1%e6%9c%888%e6%97%a5%e6%9c%a8%e7%a3%af%e9%87%a3%e3%82%8a%e4%be%bf%e2%98%86?easys_page_id=9&easys_block_id=nsazd3axzm5hro8srr8n
2025-12-20,土,晴れ,19.7℃,19.7,2m〜2.5mウネリ有り,2.0,明日悪天候の為休船します。,湾内磯,75025170,32cm〜41cm,,,32.0,41.0,フカセ,オキアミ,https://www.taniguchitosen.com/archives/ub1ruabwlwjavtrmzdbu/12%e6%9c%8820%e6%97%a5%e5%9c%9f%e7%a3%af%e9%87%a3%e3%82%8a%e4%be%bf%e2%98%86?easys_page_id=9&easys_block_id=nsazd3axzm5hro8srr8n
2025-12-11,木,晴れ,22.1℃,22.1,1.5m,1.5,明日も出船します☆,,,,,,,,,,
